dod,female,kommun60,experiment,foddar,ett
0.2068966,0,315,0,47,29
0.1818182,1,315,0,47,22
0.0555556,0,315,0,48,18
0.1428571,1,315,0,48,14
0.3333333,0,315,0,49,12
0.2380952,1,315,0,49,21
0.35,0,315,0,50,20
0.0909091,1,315,0,50,11
0,0,315,0,51,16
0,1,315,0,51,19
0,0,315,0,52,14
0,1,315,0,52,18
0.173913,0,315,1,53,23
0,1,315,1,53,16
0.1666667,0,315,1,54,24
0.2,1,315,1,54,25
0.3333333,0,315,1,55,27
0.1578947,1,315,1,55,19
0.2916667,0,315,1,56,24
0,1,315,1,56,11
0.2666667,0,315,1,57,15
0.1052632,1,315,1,57,19
0.375,0,316,0,40,8
0.3333333,1,316,0,40,12
0,0,316,0,41,5
0,1,316,0,41,3
0,0,316,0,42,6
0.2222222,1,316,0,42,9
0.7,0,316,0,43,10
0,1,316,0,43,6
0.1666667,0,316,0,44,6
0,1,316,0,44,4
0,0,316,0,45,7
0.1111111,1,316,0,45,9
0,0,316,0,46,6
0,1,316,0,46,2
0.2631579,0,316,0,47,57
0.2702703,1,316,0,47,37
0.1666667,0,316,1,48,48
0.0930233,1,316,1,48,43
0.15,0,316,1,49,40
0.106383,1,316,1,49,47
0.0857143,0,316,1,50,35
0.0555556,1,316,1,50,36
0.1034483,0,316,1,51,29
0.2,1,316,1,51,30
0.1111111,0,316,1,52,36
0.137931,1,316,1,52,29
0.0857143,0,316,1,53,35
0.1666667,1,316,1,53,42
0.2682927,0,316,1,54,41
0.2068966,1,316,1,54,29
0,0,316,1,55,31
0.05,1,316,1,55,40
0.04,0,316,1,56,25
0.0740741,1,316,1,56,27
0.0967742,0,316,1,57,31
0.1666667,1,316,1,57,24
0.32,0,317,0,40,25
0.4318182,1,317,0,40,44
0.3421053,0,317,0,41,38
0.4857143,1,317,0,41,35
0.3962264,0,317,0,42,53
0.2162162,1,317,0,42,37
0.4651163,0,317,0,43,43
0.1621622,1,317,0,43,37
0.16,0,317,0,44,25
0.4848485,1,317,0,44,33
0.5,0,317,0,45,24
0.2941177,1,317,0,45,34
0.2,0,317,0,46,10
0.2857143,1,317,0,46,7
0.3333333,0,317,0,47,48
0.0980392,1,317,0,47,51
0.0681818,0,317,0,48,44
0.1395349,1,317,0,48,43
0.1607143,0,317,0,49,56
0.1086956,1,317,0,49,46
0.2105263,0,317,0,50,38
0.030303,1,317,0,50,33
0.1851852,0,317,0,51,54
0.2222222,1,317,0,51,45
0.15,0,317,0,52,40
0.0833333,1,317,0,52,48
0.1914894,0,317,1,53,47
0.1489362,1,317,1,53,47
0.0869565,0,317,1,54,46
0.1219512,1,317,1,54,41
0.1875,0,317,1,55,48
0.1384615,1,317,1,55,65
0.1929825,0,317,1,56,57
0.0392157,1,317,1,56,51
0,0,317,1,57,51
0.1176471,1,317,1,57,34
0,0,318,0,40,2
1,0,318,0,42,1
0,0,318,0,43,2
0,1,318,0,43,1
0,1,318,0,44,1
0,0,318,0,45,2
0,1,318,0,45,1
1,0,318,0,46,2
0,1,318,0,46,1
0.173913,0,318,0,47,23
0.45,1,318,0,47,20
0.0526316,0,318,0,48,19
0.0833333,1,318,0,48,12
0,0,318,0,49,14
0.0714286,1,318,0,49,28
0,0,318,0,50,16
0.1904762,1,318,0,50,21
0.2105263,0,318,0,51,19
0.1176471,1,318,0,51,17
0.12,0,318,0,52,25
0,1,318,0,52,18
0.0454545,0,318,1,53,22
0.2,1,318,1,53,20
0.3076923,0,318,1,54,26
0.08,1,318,1,54,25
0.2307692,0,318,1,55,26
0.1481481,1,318,1,55,27
0.1538462,0,318,1,56,13
0.0833333,1,318,1,56,24
0.2068966,0,318,1,57,29
0.0869565,1,318,1,57,23
0.5294118,0,319,0,40,17
0.3888889,1,319,0,40,18
0.6,0,319,0,41,20
0,1,319,0,41,19
0.4117647,0,319,0,42,17
0.2857143,1,319,0,42,21
0.34375,0,319,0,43,32
0.0666667,1,319,0,43,30
0.4666667,0,319,0,44,45
0.3333333,1,319,0,44,27
0.3448276,0,319,0,45,29
0,1,319,0,45,16
0.2857143,0,319,0,46,21
0.1818182,1,319,0,46,22
0.2153846,0,319,0,47,65
0.3404255,1,319,0,47,47
0.2295082,0,319,1,48,61
0.122807,1,319,1,48,57
0.2105263,0,319,1,49,57
0.0576923,1,319,1,49,52
0.2244898,0,319,1,50,49
0.1818182,1,319,1,50,55
0.3333333,0,319,1,51,66
0.1071429,1,319,1,51,56
0.3114754,0,319,1,52,61
0.1694915,1,319,1,52,59
0.1803279,0,319,1,53,61
0.1071429,1,319,1,53,56
0.2,0,319,1,54,75
0.1481481,1,319,1,54,54
0.1515152,0,319,1,55,66
0.1176471,1,319,1,55,51
0.1621622,0,319,1,56,74
0.0625,1,319,1,56,64
0.3137255,0,319,1,57,51
0.0909091,1,319,1,57,55
0.1818182,0,320,0,40,11
0.6,1,320,0,40,10
0.3333333,0,320,0,41,6
0.5,1,320,0,41,8
0.5833333,0,320,0,42,12
0,1,320,0,42,4
0.2857143,0,320,0,43,7
0,1,320,0,43,7
0.5,0,320,0,44,4
0,1,320,0,44,5
0.1666667,0,320,0,45,6
0.2857143,1,320,0,45,7
0.3333333,0,320,0,46,6
0.5,1,320,0,46,4
0.2666667,0,320,0,47,15
0.2222222,1,320,0,47,18
0.1904762,0,320,0,48,21
0.32,1,320,0,48,25
0.35,0,320,0,49,20
0.12,1,320,0,49,25
0.1052632,0,320,0,50,19
0.2352941,1,320,0,50,17
0.1666667,0,320,0,51,24
0.0526316,1,320,0,51,19
0.1333333,0,320,0,52,15
0.3157895,1,320,0,52,19
0.1666667,0,320,0,53,18
0.1333333,1,320,0,53,15
0.1363636,0,320,0,54,22
0,1,320,0,54,9
0.1578947,0,320,1,55,19
0,1,320,1,55,19
0,0,320,1,56,18
0.1538462,1,320,1,56,13
0.2777778,0,320,1,57,18
0.1052632,1,320,1,57,19
0.52,0,321,0,40,25
0.2142857,1,321,0,40,14
0.46875,0,321,0,41,32
0.2692308,1,321,0,41,26
0.2222222,0,321,0,42,27
0.173913,1,321,0,42,23
0.125,0,321,0,43,16
0.2333333,1,321,0,43,30
0.4901961,0,321,0,44,51
0.1481481,1,321,0,44,27
0.2380952,0,321,0,45,21
0.2162162,1,321,0,45,37
0.1538462,0,321,0,46,26
0.2105263,1,321,0,46,19
0.2857143,0,321,0,47,35
0.1333333,1,321,0,47,30
0.2727273,0,321,0,48,22
0.12,1,321,0,48,25
0.4,0,321,0,49,25
0.1,1,321,0,49,20
0.2142857,0,321,0,50,14
0.1764706,1,321,0,50,17
0.2352941,0,321,0,51,17
0.1111111,1,321,0,51,18
0.1176471,0,321,0,52,17
0.1176471,1,321,0,52,17
0.1904762,0,321,0,53,21
0,1,321,0,53,10
0.35,0,321,0,54,20
0.2,1,321,0,54,15
0.0625,0,321,1,55,16
0.1176471,1,321,1,55,17
0.3,0,321,1,56,10
0.1428571,1,321,1,56,21
0,0,321,1,57,13
0.1052632,1,321,1,57,19
0.25,0,322,0,40,8
0.2857143,1,322,0,40,7
0.5625,0,322,0,41,16
0.1538462,1,322,0,41,13
0.5,0,322,0,42,18
0.2352941,1,322,0,42,17
0.1666667,0,322,0,43,12
0,1,322,0,43,18
0.1666667,0,322,0,44,12
0.2916667,1,322,0,44,24
0.4444444,0,322,0,45,18
0,1,322,0,45,12
0.2941177,0,322,0,46,17
0.2727273,1,322,0,46,11
0.1666667,0,322,0,47,18
0.1428571,1,322,0,47,21
0.08,0,322,0,48,25
0.1428571,1,322,0,48,14
0.1052632,0,322,0,49,19
0.3461539,1,322,0,49,26
0.375,0,322,0,50,24
0,1,322,0,50,10
0.125,0,322,0,51,24
0.1052632,1,322,0,51,19
0.2666667,0,322,0,52,15
0.2222222,1,322,0,52,18
0,0,322,0,53,10
0.1428571,1,322,0,53,14
0.0952381,0,322,0,54,21
0,1,322,0,54,22
0,0,322,1,55,18
0.0769231,1,322,1,55,13
0.1428571,0,322,1,56,14
0.0666667,1,322,1,56,15
0,0,322,1,57,15
0,1,322,1,57,11
0,0,360,0,40,2
0.6666667,1,360,0,40,3
0.5,1,360,0,41,2
0.6666667,0,360,0,42,3
0,1,360,0,42,1
1,1,360,0,43,1
0,0,360,0,44,3
0,1,360,0,44,1
0,0,360,0,45,4
0,1,360,0,45,3
0.1818182,0,360,0,47,11
0,1,360,0,47,10
0.1111111,0,360,0,48,9
0.5,1,360,0,48,8
0.1666667,0,360,0,49,12
0,1,360,0,49,13
0.125,0,360,0,50,8
0,1,360,0,50,7
0.4,0,360,0,51,5
0.0909091,1,360,0,51,11
0.2222222,0,360,0,52,9
0.0833333,1,360,0,52,12
0,0,360,1,53,6
0.1818182,1,360,1,53,11
0,0,360,1,54,3
0,1,360,1,54,5
0,0,360,1,55,11
0,1,360,1,55,6
0.25,0,360,1,56,12
0,1,360,1,56,5
0,0,360,1,57,4
0,1,360,1,57,6
0.4190184,0,380,0,40,1630
0.2773669,1,380,0,40,1352
0.4057971,0,380,0,41,1587
0.2907801,1,380,0,41,1410
0.3835694,0,380,0,42,1765
0.2599299,1,380,0,42,1712
0.3623042,0,380,0,43,1979
0.2515372,1,380,0,43,1789
0.2940385,0,380,0,44,2231
0.2291971,1,380,0,44,2055
0.2829289,0,380,0,45,2308
0.2335632,1,380,0,45,2175
0.2789382,0,380,0,46,2298
0.1904762,1,380,0,46,2226
0.2208955,0,380,0,47,1005
0.192585,1,380,0,47,971
0.2227191,0,380,1,48,1118
0.1866029,1,380,1,48,1045
0.2357343,0,380,1,49,1069
0.1684836,1,380,1,49,1009
0.2108495,0,380,1,50,977
0.1333333,1,380,1,50,945
0.1921788,0,380,1,51,895
0.1497642,1,380,1,51,848
0.1753653,0,380,1,52,958
0.1325898,1,380,1,52,807
0.1530726,0,380,1,53,895
0.1163337,1,380,1,53,851
0.1520343,0,380,1,54,934
0.1035714,1,380,1,54,840
0.1431579,0,380,1,55,950
0.1050328,1,380,1,55,914
0.1087645,0,380,1,56,947
